# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 1.014670577951424768e+01 2.312678904875835606e-01 3.693809677663340008e+00 1.197984824865707765e+01
5.000000000000000000e+00 1.435854591440695138e+01 3.272658827654483238e-01 3.476526755447848949e+00 1.127515129285371920e+01
1.000000000000000000e+01 1.359275679897191935e+01 3.098117023512912405e-01 5.866638899818244823e+00 1.902681780669065148e+01
1.500000000000000000e+01 2.182498978989857008e+01 4.974441418034816209e-01 8.763744529358122648e+00 2.842277721740209273e+01
2.000000000000000000e+01 2.909998638653142322e+01 6.632588557379753835e-01 1.528223219582283576e+01 4.956368589150280712e+01
2.500000000000000000e+01 3.924669216604566202e+01 8.945267462255586111e-01 1.839662074757819710e+01 5.966434225801758373e+01
3.000000000000000000e+01 4.824471427240735721e+01 1.099613366091906519e+00 2.462539785108893042e+01 7.986565499104717958e+01
3.500000000000000000e+01 6.432628569654316664e+01 1.466151154789209210e+00 3.331671473970855146e+01 1.080535332231814749e+02
4.000000000000000000e+01 6.738944215828330186e+01 1.535967876445837765e+00 3.990763004691176974e+01 1.294293408825500080e+02
4.500000000000000000e+01 8.155654079383150190e+01 1.858870214107747110e+00 4.888865749848539366e+01 1.585568150557554929e+02
5.000000000000000000e+01 1.066361343243290065e+02 2.430494622671397487e+00 5.345159886501068769e+01 1.733554511276259689e+02
5.500000000000000000e+01 1.240578367004761162e+02 2.827577227093474921e+00 7.192064725332740238e+01 2.332546923709114139e+02
6.000000000000000000e+01 1.357361207108603764e+02 3.093753478409371649e+00 8.263993808262492280e+01 2.680197421905436386e+02
6.500000000000000000e+01 1.659847907705444072e+02 3.783193604768583906e+00 9.430078824152290906e+01 3.058384788186571654e+02
7.000000000000000000e+01 1.893413587913130129e+02 4.315546107400379583e+00 1.176949162000573921e+02 3.817108510601519242e+02
7.500000000000000000e+01 2.312683128613813892e+02 5.271162485075490345e+00 1.387713596549599799e+02 4.500664557730776778e+02
8.000000000000000000e+01 2.529018553724211245e+02 5.764243081775430433e+00 1.652074485245113635e+02 5.358045853958195721e+02
8.500000000000000000e+01 3.101445917511902053e+02 7.068943067733685304e+00 1.871530236682759210e+02 6.069789779319586387e+02
9.000000000000000000e+01 3.509228621481059349e+02 7.998378174787559303e+00 2.242359757263862718e+02 7.272472583890648821e+02
9.500000000000000000e+01 3.961044199587731214e+02 9.028174819222835268e+00 2.500926434700296852e+02 8.111061961296645677e+02
1.000000000000000000e+02 4.732576733388532375e+02 1.078668349594918041e+01 2.896381353132488812e+02 9.393610420858752832e+02
