# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_blue	mouse_S_cone_blue	
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.007292760825203137e-01 2.719775213114575596e+00
5.000000000000000000e+00 1.047800378102180275e+03 6.783384544651093536e-05 1.804375656495121660e+01 1.631865127868745162e+02
1.000000000000000000e+01 1.321550026435182190e+03 8.555620146406783236e-05 9.924066110723175882e+01 8.975258203278103792e+02
1.500000000000000000e+01 2.258253067150229072e+03 1.461976849193686537e-04 1.693105824344589507e+02 1.531233444983506160e+03
2.000000000000000000e+01 2.931372228966391049e+03 1.897749369837593012e-04 2.712578070264333974e+02 2.453237242229347885e+03
2.500000000000000000e+01 3.192051602312672003e+03 2.066511327670562167e-04 3.545598165012915501e+02 3.206614976262085747e+03
3.000000000000000000e+01 4.231864590145189140e+03 2.739678802926304711e-04 4.447785993260476971e+02 4.022547540196458613e+03
3.500000000000000000e+01 4.911518889454710916e+03 3.179682124741510280e-04 5.070295594751292469e+02 4.585541009311175003e+03
4.000000000000000000e+01 5.241906396063505781e+03 3.393572628401679623e-04 5.190587305184301385e+02 4.694332017835758961e+03
4.500000000000000000e+01 5.445947911133994239e+03 3.525667642750048947e-04 6.255168942516422703e+02 5.657132443278317623e+03
5.000000000000000000e+01 6.373937435191226541e+03 4.126441409074657510e-04 7.166378649046459941e+02 6.481224332852034422e+03
5.500000000000000000e+01 6.379020319908283454e+03 4.129732032207889566e-04 8.110668575945572911e+02 7.335233749770010036e+03
6.000000000000000000e+01 7.695487461626407821e+03 4.982003423715334342e-04 8.483572878287899357e+02 7.672485876196219579e+03
6.500000000000000000e+01 8.264044423548797567e+03 5.350083125618440398e-04 9.436884683469488664e+02 8.534654618753540490e+03
7.000000000000000000e+01 8.661235557867501484e+03 5.607221819029675584e-04 1.024885372889229075e+03 9.268993926294473567e+03
7.500000000000000000e+01 9.249397932269977900e+03 5.987993924446684615e-04 1.067288200816864446e+03 9.652482231343628882e+03
8.000000000000000000e+01 9.642958434647924150e+03 6.242782172762752343e-04 1.157206254365538598e+03 1.046569502006489165e+04
8.500000000000000000e+01 1.043516232412088175e+04 6.755649292528125276e-04 1.226073258588435237e+03 1.108852354386812294e+04
9.000000000000000000e+01 1.113732654146309142e+04 7.210225373933365186e-04 1.264566605926997909e+03 1.143665477114679015e+04
9.500000000000000000e+01 1.153161317022919138e+04 7.465483711268467923e-04 1.373731333144952714e+03 1.242393317350738107e+04
