# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 7.575923942442297498e-01 1.726735737425594275e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 7.575923942442297498e-01 1.726735737425594275e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 3.030369576976918999e+00 6.906942949702377099e-02 5.761289604198613912e-01 1.868514655539205371e+00
1.500000000000000000e+01 4.545554365465378766e+01 1.036041442455356565e+00 8.641934406297919757e-01 2.802771983308808057e+00
2.000000000000000000e+01 1.386394081466940236e+02 3.159926399488837134e+00 1.065838576776743629e+01 3.456752112747530248e+01
2.500000000000000000e+01 3.037945500919361734e+02 6.924210307076633875e+00 2.938257698141293517e+01 9.529424743249950325e+01
3.000000000000000000e+01 4.606161757004916240e+02 1.049855328354761141e+01 5.415612227946697743e+01 1.756403776206853422e+02
3.500000000000000000e+01 6.348624263766645299e+02 1.447004547962647969e+01 1.051435352766247462e+02 3.410039246359051504e+02
4.000000000000000000e+01 8.280484869089427775e+02 1.887322161006173715e+01 1.535383679518930080e+02 4.979591557011980854e+02
4.500000000000000000e+01 1.068962868278608084e+03 2.436424125507513594e+01 1.866657831760350348e+02 6.053987483947024657e+02
5.000000000000000000e+01 1.305331695282807686e+03 2.975165675584298697e+01 2.439906147378112848e+02 7.913159566208533988e+02
5.500000000000000000e+01 1.531851821161832504e+03 3.491459661074551235e+01 3.059244779829463141e+02 9.921812820913178257e+02
6.000000000000000000e+01 1.793978789570335721e+03 4.088910226223806887e+01 3.638254385051424720e+02 1.179967004973008216e+03
6.500000000000000000e+01 2.055348165584594881e+03 4.684634055635635974e+01 4.176934963043994458e+02 1.354673125265923773e+03
7.000000000000000000e+01 2.315202356810365927e+03 5.276904413572616193e+01 4.755944568265955468e+02 1.542458848147613935e+03
7.500000000000000000e+01 2.615966537325325589e+03 5.962418501330577669e+01 5.677750904937734049e+02 1.841421193033887221e+03
